host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
www.ignorance.ai	Artificial Ignorance	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
www.interconnects.ai	Interconnects AI	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
www.joanwestenberg.com	WESTENBERG	ankairos-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
www.johnathanbi.com	Johnathan Bi	search:AI welfare	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
www.jonahdavids.com	Jonah Davids' Newsletter	erin-subs	12	2026-01-28	n	unsure	n	inactive: newest post 2026-01-28, before 2026-07-01			
www.josecrespophd.org	A Mathematician Lurking in the TechUnderWorld	ankairos-subs	12	2026-09-21	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.latent.space	Latent.Space	profile:caelhex	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.lennysnewsletter.com	Lenny's Newsletter	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
www.lookingforward.life	Looking Forward by Stephen Johnston	erin-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.luizasnewsletter.com	Luiza's Newsletter	search:human AI relationship	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
www.natesilver.net	Silver Bulletin	search:AI partner	12	2026-09-24	y	no	n	active but not relevant (model: no)			
www.news.aakashg.com	Product Growth	search:AI partner	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.nonzero.org	NonZero Newsletter	ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
www.normaltech.ai	AI as Normal Technology	search:AI partner	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
www.oneusefulthing.org	One Useful Thing	erin-subs,search:AI companion,search:AI partner,search:human AI relationship	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
www.operatorshandbook.com	The Operator's Handbook	search:AI partner	12	2025-11-06	n	unsure	n	inactive: newest post 2025-11-06, before 2026-07-01			
www.persuasion.community	Persuasion	search:AI consciousness	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.philosopheasy.com	Philosopheasy	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.polytropolis.com	Polytropolis	erin-subs,search:AI consciousness,ankairos-subs	3	2026-06-17	n	unsure	n	inactive: newest post 2026-06-17, before 2026-07-01			
www.presencenotprompts.com	Presence Not Prompts	erin-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.progressreport.news	Progress Report	erin-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
www.realtimetechpocalypse.com	Realtime Techpocalypse Newsletter	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
www.robonaissance.com	Robonaissance	ankairos-subs	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.sabrina.dev	Sabrina Ramonov 🍄	search:AI companion,search:AI partner	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.savageminds.co	Savage Minds	search:AI consciousness,search:AI partner,ankairos-subs	12	2026-09-24	y	no	n	active but not relevant (model: no)			
www.shannanmann.com	Beautiful Losers	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.snafuinvesting.com	SNAFU Investing with Lau Vegys	search:AI welfare	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.stellastillwell.com	Stella Stillwell	erin-subs	12	2026-07-10	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.strangepilgrims.com	Strange Pilgrims	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
www.taylorforeman.com	The Metaphor	search:AI consciousness,search:AI partner,search:human AI relationship	12	2026-09-19	y	no	n	active but not relevant (model: no)			
www.the-ai-corner.com	The AI Corner	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.thealgorithmicbridge.com	The Algorithmic Bridge	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
www.theargumentmag.com	The Argument	search:AI consciousness,search:AI welfare,search:human AI relationship	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.thebignewsletter.com	BIG by Matt Stoller	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
www.thebreakdownai.com	The Breakdown AI	erin-subs	3	2026-03-16	n	unsure	n	inactive: newest post 2026-03-16, before 2026-07-01			
www.thecorridors.org	The Corridors	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
www.thecybersolicitor.com	The Cyber Solicitor	ankairos-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
www.thefp.com	The Free Press	search:AI consciousness,search:AI welfare,search:human AI relationship	12	2026-09-24	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.theheroinesociety.com	The Heroine Society	erin-subs	12	2026-09-10	y	no	n	active but not relevant (model: no)			
www.thekingstonreport.com	The Kingston Report	search:digital beings	12	2026-09-18	y	no	n	active but not relevant (model: no)			
www.themirrorroom.net	The Mirror Room	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.threadcounts.org	Thread Counts	erin-subs,ankairos-subs	12	2026-08-11	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.tokenisedhuman.com	Tokenised Human	search:AI welfare,search:human AI relationship,ankairos-subs	10	2026-09-23	y	yes	y	active and relevant (model: yes)			
www.tommydixon.ca	Tommy Dixon	search:digital beings	12	2026-09-12	y	no	n	active but not relevant (model: no)			
www.toxsec.com	ToxSec - AI and Cybersecurity 	erin-subs,ankairos-subs	12	2026-09-01	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.uncensoredobjection.com	Uncensored Objection ™	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.understandingai.org	Understanding AI	erin-subs,search:human AI relationship,ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
www.wetheblacksheep.com	The Black Sheep	erin-subs	12	2026-08-04	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.writingruxandrabio.com	Ruxandra's Substack	search:human AI relationship	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
www.youandyourai.ai	You & Your AI	erin-subs	12	2025-10-14	n	unsure	n	inactive: newest post 2025-10-14, before 2026-07-01			
www.zerodaydawn.com	Zero-Day Dawn	ankairos-subs	12	2026-07-05	y	yes	y	active and relevant (model: yes)			
wyverndryke	Wyvern Dryke Yips at the World	erin-subs,kristina-subs	12	2026-08-24	y	no	n	active but not relevant (model: no)			
xeroforhire	The Xeroforhire Podcast	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
yasminakryvushenko	The culturecode	erin-subs	8	2026-02-01	n	unsure	n	inactive: newest post 2026-02-01, before 2026-07-01			
yewandebiala	Yewande	search:human AI relationship	12	2026-08-24	y	no	n	active but not relevant (model: no)			
youandyourai	You & Your AI	kristina-subs	12	2025-10-14	n	unsure	n	inactive: newest post 2025-10-14, before 2026-07-01			
yvonnejackman	Hanyang Parallel	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
zaamr	Zen, Art, and Motorcycle Restoration	ankairos-subs	10	2026-08-18	y	no	n	active but not relevant (model: no)			
zaina716369	Zaina	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
zazaa1	Grief, Love and A.I.	kristina-subs	12	2026-08-23	y	yes	y	active and relevant (model: yes)			
zerothesource	SOURCE//SIGNAL	erin-subs	1	2026-06-15	n	unsure	n	inactive: only 1 post(s) in archive			
zheikdazombi	Architectures of Thought	erin-subs	12	2026-08-27	y	yes	y	active and relevant (model: yes)			
zoagrad	ZoaGrad	erin-subs	10	2025-11-16	n	unsure	n	inactive: newest post 2025-11-16, before 2026-07-01			
zoemiracle	The Miracle of Meeting	erin-subs	2	2026-06-29	n	unsure	n	inactive: only 2 post(s) in archive			
